A109E,2,8,NULL,Rotorcraft,Turbo-shaft,AGUSTA SPA
CL-600-2C10,2,80,NULL,Fixed wing multi engine,Turbo-fan,BOMBARDIER INC
737-832,2,189,NULL,Fixed wing multi engine,Turbo-jet,BOEING
PA-32RT-300,1,7,NULL,Fixed wing single engine,Reciprocating,PIPER
FALCON XP,1,2,NULL,Fixed wing single engine,Reciprocating,PAIR MIKE E
172E,1,4,105,Fixed wing single engine,Reciprocating,CESSNA
A330-243,2,377,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS
DC-7BF,4,102,232,Fixed wing multi engine,Reciprocating,DOUGLAS
E-90,2,10,NULL,Fixed wing multi engine,Turbo-prop,BEECH
230,2,11,NULL,Rotorcraft,Turbo-shaft,BELL
A-1B,1,2,NULL,Fixed wing single engine,Reciprocating,AVIAT AIRCRAFT INC
767-324,2,269,NULL,Fixed wing multi engine,Turbo-fan,BOEING
60,2,11,NULL,Fixed wing multi engine,Turbo-fan,LEARJET INC
A320-232,2,200,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS INDUSTRIE
737-990ER,2,222,NULL,Fixed wing multi engine,Turbo-fan,BOEING
737-401,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
DC-9-82(MD-82),2,172,NULL,Fixed wing multi engine,Turbo-fan,MCDONNELL DOUGLAS
PA-28-180,1,4,107,Fixed wing single engine,Reciprocating,PIPER
CL-600-2B19,2,55,NULL,Fixed wing multi engine,Turbo-fan,BOMBARDIER INC
737-4B7,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
DC-9-83(MD-83),2,172,NULL,Fixed wing multi engine,Turbo-fan,MCDONNELL DOUGLAS
757-251,2,178,NULL,Fixed wing multi engine,Turbo-jet,BOEING
757-222,2,178,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-5H4,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-890,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
A321-231,2,379,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS
206B,1,5,112,Rotorcraft,Turbo-shaft,BELL
SR22,1,4,NULL,Fixed wing single engine,Reciprocating,CIRRUS DESIGN CORP
FALCON-XP,1,2,NULL,Fixed wing single engine,Reciprocating,HURLEY JAMES LARRY
550,2,8,NULL,Fixed wing multi engine,Turbo-fan,CESSNA
A185F,1,6,127,Fixed wing single engine,Reciprocating,CESSNA
A319-115,2,147,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS
A319-112,2,100,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS
ZODIAC 601HDS,1,2,NULL,Fixed wing single engine,Reciprocating,BARKER JACK L
R66,1,5,NULL,Rotorcraft,Turbo-shaft,ROBINSON HELICOPTER CO
VANS AIRCRAFT RV6,1,2,NULL,Fixed wing single engine,Reciprocating,FRIEDEMANN JON
PA-32R-300,1,7,126,Fixed wing single engine,Reciprocating,PIPER
737-8FH,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-76Q,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
737-7BX,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
KITFOX IV,1,2,NULL,Fixed wing single engine,Reciprocating,MARZ BARRY
OTTER DHC-3,1,16,95,Fixed wing single engine,Reciprocating,DEHAVILLAND
757-324,2,275,NULL,Fixed wing multi engine,Turbo-fan,BOEING
777-224,2,400,NULL,Fixed wing multi engine,Turbo-fan,BOEING
210-5(205),1,6,NULL,Fixed wing single engine,Reciprocating,CESSNA
757-33N,2,275,NULL,Fixed wing multi engine,Turbo-jet,BOEING
757-351,2,275,NULL,Fixed wing multi engine,Turbo-jet,BOEING
767-424ER,2,292,NULL,Fixed wing multi engine,Turbo-jet,BOEING
DC-9-51,2,139,432,Fixed wing multi engine,Turbo-jet,MCDONNELL DOUGLAS
757-232,2,178,NULL,Fixed wing multi engine,Turbo-fan,BOEING
717-200,2,100,NULL,Fixed wing multi engine,Turbo-fan,BOEING
757-223,2,178,NULL,Fixed wing multi engine,Turbo-fan,BOEING
65-A90,2,9,202,Fixed wing multi engine,Turbo-prop,BEECH
172M,1,4,108,Fixed wing single engine,4 Cycle,CESSNA
A320-231,2,182,NULL,Fixed wing multi engine,Turbo-jet,AIRBUS INDUSTRIE
757-2Q8,2,178,NULL,Fixed wing multi engine,Turbo-fan,BOEING
767-322,2,330,NULL,Fixed wing multi engine,Turbo-fan,BOEING
737-3L9,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
737-301,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
737-3Y0,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
737-3A4,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-3G7,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
747-451,4,450,NULL,Fixed wing multi engine,Turbo-jet,BOEING
767-224,2,255,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-3TO,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-317,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-3T5,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
757-231,2,178,NULL,Fixed wing multi engine,Turbo-fan,BOEING
G1159B,2,22,NULL,Fixed wing multi engine,Turbo-jet,GULFSTREAM AEROSPACE
172N,1,4,105,Fixed wing single engine,Reciprocating,CESSNA
757-212,2,178,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-7AD,2,128,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-7Q8,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
A319-132,2,179,NULL,Fixed wing multi engine,Turbo-jet,AIRBUS INDUSTRIE
A319-131,2,179,NULL,Fixed wing multi engine,Turbo-jet,AIRBUS INDUSTRIE
A330-323,2,379,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS
767-432ER,2,300,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-8H4,2,140,NULL,Fixed wing multi engine,Turbo-fan,BOEING
CF-5D,4,2,NULL,Fixed wing multi engine,Turbo-jet,CANADAIR LTD
A330-223,2,379,NULL,Fixed wing multi engine,Turbo-jet,AIRBUS INDUSTRIE
777-232,2,400,NULL,Fixed wing multi engine,Turbo-jet,BOEING
MD-88,2,142,NULL,Fixed wing multi engine,Turbo-jet,MCDONNELL DOUGLAS CORPORATION
757-26D,2,178,NULL,Fixed wing multi engine,Turbo-jet,BOEING
MD-90-30,2,142,NULL,Fixed wing multi engine,Turbo-jet,MCDONNELL DOUGLAS
MYSTERE FALCON 900,3,12,NULL,Fixed wing multi engine,Turbo-fan,AVIONS MARCEL DASSAULT
757-2B7,2,178,NULL,Fixed wing multi engine,Turbo-fan,BOEING
